date,symbol,entry_ts,exit_ts,entry_px,exit_px,shares,position_usd,pnl,ret_pct,equity_after,rvol
2023-10-12,OPGN,2023-10-12 13:48:13,2023-10-12 19:50:00,21.105,9.177,497.0201,10489.61,-5930.94,-56.5174,203834.71,1.73
2023-10-12,SECO,2023-10-12 13:53:03,2023-10-12 19:50:00,2.1808,0.9299,4809.8151,10489.49,-6041.03,-57.3621,197793.68,6.44
2023-10-19,BFRI,2023-10-19 14:46:04,2023-10-19 19:50:00,5.5426,5.0975,1784.3122,9889.68,-803.03,-8.0297,196981.73,1.27
2023-10-24,FRBN,2023-10-24 15:04:45,2023-10-24 19:50:00,10.7535,20.2193,915.8959,9849.09,8665.13,88.0255,205642.28,4.11
2023-10-26,FBYDP,2023-10-26 15:41:19,2023-10-26 19:50:00,17.487,14.9725,587.9862,10282.11,-1481.45,-14.3794,204157.89,1.76
2023-10-27,FRBNU,2023-10-27 14:07:20,2023-10-27 19:50:00,22.4115,27.93,455.4757,10207.89,2511.27,24.6235,206663.32,1.98
2023-10-27,FRBNU,2023-10-27 14:12:49,2023-10-27 19:50:00,22.6124,27.93,451.424,10207.78,2398.24,23.5163,209061.56,3.91
2023-10-27,FRBN,2023-10-27 15:10:21,2023-10-27 19:50:00,39.195,28.6881,260.4329,10207.67,-2737.64,-26.8067,206323.91,2.43
2023-11-07,CDIO,2023-11-07 15:06:19,2023-11-07 20:50:00,26.532,43.3912,388.8209,10316.2,6553.28,63.5431,212873.37,2.4
2023-11-07,CDIO,2023-11-07 15:14:29,2023-11-07 20:50:00,27.4365,43.3912,375.9991,10316.1,5997.09,58.1515,218870.46,2.79
2023-11-08,RMCO,2023-11-08 14:48:17,2023-11-08 20:50:00,7.1455,8.1311,1531.5159,10943.52,1501.76,13.7928,220364.57,1.25
2023-11-10,JGGC,2023-11-10 15:59:24,2023-11-10 20:50:00,10.9545,9.8054,1005.8175,11018.23,-1160.79,-10.4895,219198.75,1.18
2023-11-13,GDHG,2023-11-13 15:55:51,2023-11-13 20:50:00,445277.8125,308227.5,0.0246,10959.89,-3374.3,-30.7786,212151.95,1.04
2023-11-13,GDHG,2023-11-13 15:23:23,2023-11-13 20:50:00,463367.8125,308227.5,0.0237,10959.94,-3670.5,-33.481,215526.25,5.11
2023-11-16,KORE,2023-11-16 15:06:49,2023-11-16 20:50:00,2.312,3.4414,4588.0562,10607.6,5158.68,48.8482,217260.91,5.44
2023-11-16,KORE,2023-11-16 15:14:44,2023-11-16 20:50:00,2.3115,3.4414,4588.5574,10606.45,5161.55,48.8806,222422.46,1.13
